U1,U2,U3
3.39268081006594e-05,0.00637333374470472,-7.34287896193564e-05
5.83148430450819e-05,0.00657928548753262,-3.44929721904919e-05
3.51595444954e-05,0.00657873135060072,-7.55642977310345e-05
5.97817561356351e-05,0.00678470358252525,-3.66220083378721e-05
3.6410416214494e-05,0.00678414665162563,-7.76817541918717e-05
6.12475196248852e-05,0.0069899894297123,-3.87596919608768e-05
3.7681089452235e-05,0.00698943063616753,-7.97807879280299e-05
6.27105328021571e-05,0.00719502195715904,-4.09008716815151e-05
3.89732922485564e-05,0.00719446269795299,-8.1861850048881e-05
6.41686128801666e-05,0.00739970616996288,-4.30407235398889e-05
4.02888581447769e-05,0.00739914644509554,-8.39262356748804e-05
6.56188640277833e-05,0.00760398153215647,-4.51747619081289e-05
4.16298571508378e-05,0.00760342180728912,-8.59763167682104e-05
6.70574227115139e-05,0.00780782382935286,-4.7298632125603e-05
4.29986539529637e-05,0.00780726503580809,-8.80158841027878e-05
6.84782498865388e-05,0.00801125261932611,-4.94082414661534e-05
4.439910480869e-05,0.00801069568842649,-9.00501327123493e-05
6.98705625836737e-05,0.00821437127888203,-5.14913990627974e-05
4.58374379377346e-05,0.00821381434798241,-9.20953316381201e-05
7.12474866304547e-05,0.00841755140572786,-5.35229373781476e-05
4.72899191663601e-05,0.00841699540615082,-9.41944963415153e-05
7.26517537259497e-05,0.00862120743840933,-5.55517690372653e-05
4.87056713609491e-05,0.00862064957618713,-9.63176280492917e-05
7.4063143983949e-05,0.00882516894489527,-5.7614208344603e-05
5.01080321555492e-05,0.0088246101513505,-9.8417564004194e-05
7.54724314901978e-05,0.00902926363050938,-5.96893660258502e-05
5.15096362505574e-05,0.00902870483696461,-0.000100509605545085
7.68795216572471e-05,0.00923341233283281,-6.17712867096998e-05
5.29122007719707e-05,0.00923285260796547,-0.000102596575743519
7.82849238021299e-05,0.00943756382912397,-6.38577985228039e-05
5.43178721272852e-05,0.00943700596690178,-0.000104680606455076
-2.52435259444645e-35,6.00932043512295e-34,1.02459037832985e-34
2.85172691019268e-35,6.07041491729701e-34,-1.0267129262348e-34
1.67809631079763e-07,3.99760483560385e-06,7.51774905438651e-07
-1.23741742186212e-07,3.99902819481213e-06,-8.05583681540156e-07
5.68875123008183e-07,1.54360586748226e-05,1.43655677220522e-06
-3.68140604223299e-07,1.54356475832174e-05,-1.55853103933623e-06
1.07037578800373e-06,3.38314748660196e-05,2.07113816941273e-06
-6.10197446349048e-07,3.38281133736018e-05,-2.28258159040706e-06
1.62448645824043e-06,5.90249837841839e-05,2.68956910076668e-06
-8.08693300768937e-07,5.9017362218583e-05,-3.02024318443728e-06
2.21145182877081e-06,9.09120208234526e-05,3.27135649058619e-06
-9.47682792684645e-07,9.0899207862094e-05,-3.75971444555034e-06
2.82622522718157e-06,0.000129318024846725,3.81280983674515e-06
-1.02581179817207e-06,0.000129299034597352,-4.504900516622e-06
3.46496858583123e-06,0.000174075947143137,4.31193029726273e-06
-1.04182345239678e-06,0.000174050030182116,-5.26087478647241e-06
4.12365579904872e-06,0.000225065756239928,4.77308003610233e-06
-9.94456854641612e-07,0.000225031981244683,-6.03885973760043e-06
4.80366270494414e-06,0.000282248016446829,5.20149433214101e-06
-8.87216174305649e-07,0.000282205815892667,-6.8513695623551e-06
5.52027040612302e-06,0.00034562754444778,5.59092177354614e-06
-7.37457469313085e-07,0.000345575856044888,-7.70140468375757e-06
6.28335101282573e-06,0.000415093643823639,5.91282059758669e-06
-5.56364625481365e-07,0.00041503191459924,-8.56560745887691e-06
7.08811649019481e-06,0.000490343023557216,6.16325451119337e-06
-3.391957079657e-07,0.000490270729642361,-9.44257317314623e-06
7.93299477663822e-06,0.000571074429899454,6.33956778983702e-06
-8.35100024687563e-08,0.000570991367567331,-1.03316169770551e-05
8.81674350239336e-06,0.000656997202895582,6.44517876935424e-06
2.12242653674366e-07,0.000656902964692563,-1.12371453724336e-05
9.74006252363324e-06,0.000747831771150231,6.47833257971797e-06
5.48928198895737e-07,0.000747726415283978,-1.21577477329993e-05
1.07023452073918e-05,0.000843316956888884,6.44421515971771e-06
9.27796634186961e-07,0.000843200134113431,-1.30984190036543e-05
1.17048075480852e-05,0.00094320677453652,6.34117077424889e-06
1.3496436395144e-06,0.000943078601267189,-1.40569154609693e-05
1.27467828860972e-05,0.00104727642610669,6.17571868133382e-06
1.81583595804113e-06,0.0010471367277205,-1.50388932524947e-05
1.38296272780281e-05,0.00115531834308058,5.94591665503685e-06
2.32717843573482e-06,0.00115516711957753,-1.60413947014604e-05
1.49523111758754e-05,0.00126715027727187,5.65950495001744e-06
2.88510523205332e-06,0.00126698741223663,-1.70711227838183e-05
1.61161278811051e-05,0.00138260901439935,5.31390969626955e-06
3.49029983226501e-06,0.00138243474066257,-1.81245432031574e-05
1.73193893715506e-05,0.00150156114250422,4.91807895741658e-06
4.14411852034391e-06,0.00150137499440461,-1.92098777915817e-05
1.85630979103735e-05,0.00162389501929283,4.4684520617011e-06
